Training: 2021-03-06 22:27:23,915-rank_id: 0
Training: 2021-03-06 22:27:45,401-No pretrain found, backbone init successfully!
Training: 2021-03-06 22:27:45,914-softmax weight init successfully!
Training: 2021-03-06 22:27:45,917-softmax weight mom init successfully!
Training: 2021-03-06 22:27:45,923-Total Step is: 667642
Training: 2021-03-06 22:28:26,226-Reducer buckets have been rebuilt in this iteration.
Training: 2021-03-06 22:29:04,854-Speed 1242.62 samples/sec   Loss 43.0977   Epoch: 0   Global Step: 100   Required: 77 hours
Training: 2021-03-06 22:29:22,143-Speed 1480.74 samples/sec   Loss 42.9083   Epoch: 0   Global Step: 150   Required: 73 hours
Training: 2021-03-06 22:29:41,751-Speed 1305.67 samples/sec   Loss 42.5448   Epoch: 0   Global Step: 200   Required: 73 hours
Training: 2021-03-06 22:29:58,254-Speed 1551.98 samples/sec   Loss 42.2822   Epoch: 0   Global Step: 250   Required: 71 hours
Training: 2021-03-06 22:30:15,606-Speed 1475.39 samples/sec   Loss 42.0702   Epoch: 0   Global Step: 300   Required: 69 hours
Training: 2021-03-06 22:30:32,073-Speed 1554.79 samples/sec   Loss 41.7726   Epoch: 0   Global Step: 350   Required: 68 hours
Training: 2021-03-06 22:30:48,671-Speed 1542.43 samples/sec   Loss 41.5367   Epoch: 0   Global Step: 400   Required: 67 hours
Training: 2021-03-06 22:31:05,352-Speed 1534.77 samples/sec   Loss 41.2518   Epoch: 0   Global Step: 450   Required: 67 hours
Training: 2021-03-06 22:31:22,388-Speed 1502.80 samples/sec   Loss 41.0043   Epoch: 0   Global Step: 500   Required: 66 hours
Training: 2021-03-06 22:31:39,857-Speed 1465.59 samples/sec   Loss 40.7669   Epoch: 0   Global Step: 550   Required: 66 hours
Training: 2021-03-06 22:32:00,477-Speed 1241.57 samples/sec   Loss 40.4625   Epoch: 0   Global Step: 600   Required: 67 hours
Training: 2021-03-06 22:32:17,121-Speed 1538.15 samples/sec   Loss 40.1950   Epoch: 0   Global Step: 650   Required: 67 hours
Training: 2021-03-06 22:32:34,077-Speed 1510.72 samples/sec   Loss 39.8738   Epoch: 0   Global Step: 700   Required: 66 hours
Training: 2021-03-06 22:32:50,705-Speed 1539.66 samples/sec   Loss 39.6091   Epoch: 0   Global Step: 750   Required: 66 hours
Training: 2021-03-06 22:33:07,517-Speed 1522.78 samples/sec   Loss 39.3720   Epoch: 0   Global Step: 800   Required: 66 hours
Training: 2021-03-06 22:33:25,159-Speed 1451.12 samples/sec   Loss 39.0770   Epoch: 0   Global Step: 850   Required: 66 hours
Training: 2021-03-06 22:33:41,801-Speed 1538.43 samples/sec   Loss 38.8334   Epoch: 0   Global Step: 900   Required: 66 hours
Training: 2021-03-06 22:33:58,530-Speed 1530.37 samples/sec   Loss 38.5783   Epoch: 0   Global Step: 950   Required: 65 hours
Training: 2021-03-06 22:34:15,358-Speed 1521.43 samples/sec   Loss 38.3455   Epoch: 0   Global Step: 1000   Required: 65 hours
