Training: 2021-03-16 00:08:05,448-rank_id: 0
Training: 2021-03-16 00:08:30,528-softmax weight init successfully!
Training: 2021-03-16 00:08:30,528-softmax weight mom init successfully!
Training: 2021-03-16 00:08:30,533-Total Step is: 333821
Training: 2021-03-16 00:09:12,062-Reducer buckets have been rebuilt in this iteration.
Training: 2021-03-16 00:09:49,515-Speed 2833.31 samples/sec   Loss 45.8920   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 256   Required: 39 hours
Training: 2021-03-16 00:10:07,412-Speed 2860.86 samples/sec   Loss 44.1739   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 256   Required: 37 hours
Training: 2021-03-16 00:10:23,327-Speed 3217.33 samples/sec   Loss 42.9473   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 512   Required: 35 hours
Training: 2021-03-16 00:10:39,353-Speed 3194.82 samples/sec   Loss 41.7955   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 512   Required: 34 hours
Training: 2021-03-16 00:10:55,288-Speed 3213.14 samples/sec   Loss 40.7426   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 1024   Required: 33 hours
Training: 2021-03-16 00:11:15,528-Speed 2529.76 samples/sec   Loss 39.9706   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 1024   Required: 34 hours
Training: 2021-03-16 00:11:32,363-Speed 3041.33 samples/sec   Loss 39.6410   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 2048   Required: 34 hours
Training: 2021-03-16 00:11:48,226-Speed 3227.82 samples/sec   Loss 39.2024   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 2048   Required: 33 hours
Training: 2021-03-16 00:12:04,006-Speed 3244.81 samples/sec   Loss 38.8278   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 4096   Required: 33 hours
Training: 2021-03-16 00:12:20,058-Speed 3189.72 samples/sec   Loss 38.4068   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 4096   Required: 32 hours
Training: 2021-03-16 00:12:36,766-Speed 3064.39 samples/sec   Loss 38.0667   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 8192   Required: 32 hours
Training: 2021-03-16 00:12:52,557-Speed 3242.63 samples/sec   Loss 37.7404   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 8192   Required: 32 hours
Training: 2021-03-16 00:13:08,386-Speed 3234.59 samples/sec   Loss 37.5098   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2021-03-16 00:13:24,297-Speed 3218.14 samples/sec   Loss 37.1702   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2021-03-16 00:13:40,231-Speed 3213.36 samples/sec   Loss 36.8667   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2021-03-16 00:13:56,438-Speed 3159.20 samples/sec   Loss 36.5524   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:14:12,461-Speed 3195.58 samples/sec   Loss 36.3227   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:14:28,260-Speed 3240.70 samples/sec   Loss 36.0139   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:14:44,078-Speed 3237.03 samples/sec   Loss 35.7665   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:14:59,977-Speed 3220.48 samples/sec   Loss 35.5076   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:15:15,723-Speed 3251.56 samples/sec   Loss 35.1560   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:15:31,745-Speed 3195.76 samples/sec   Loss 34.8668   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:15:47,723-Speed 3204.63 samples/sec   Loss 34.5919   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:16:03,415-Speed 3262.77 samples/sec   Loss 34.2626   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:16:19,780-Speed 3128.82 samples/sec   Loss 33.9931   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:16:35,901-Speed 3176.06 samples/sec   Loss 33.6923   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:16:53,313-Speed 2940.70 samples/sec   Loss 33.3387   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:17:12,419-Speed 2679.78 samples/sec   Loss 33.0541   Epoch: 0   Global Step: 1450   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:17:29,129-Speed 3064.18 samples/sec   Loss 32.6634   Epoch: 0   Global Step: 1500   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:17:45,230-Speed 3179.93 samples/sec   Loss 32.4335   Epoch: 0   Global Step: 1550   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:18:01,016-Speed 3243.57 samples/sec   Loss 32.0923   Epoch: 0   Global Step: 1600   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:18:16,899-Speed 3223.66 samples/sec   Loss 31.7564   Epoch: 0   Global Step: 1650   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:18:33,028-Speed 3174.48 samples/sec   Loss 31.4021   Epoch: 0   Global Step: 1700   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:18:48,854-Speed 3235.33 samples/sec   Loss 31.1092   Epoch: 0   Global Step: 1750   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:19:04,634-Speed 3244.78 samples/sec   Loss 30.7287   Epoch: 0   Global Step: 1800   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:19:20,688-Speed 3189.25 samples/sec   Loss 30.4005   Epoch: 0   Global Step: 1850   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:19:37,478-Speed 3049.57 samples/sec   Loss 30.0752   Epoch: 0   Global Step: 1900   Fp16 Grad Scale: 16384   Required: 31 hours
Training: 2021-03-16 00:19:53,631-Speed 3169.92 samples/sec   Loss 29.7154   Epoch: 0   Global Step: 1950   Fp16 Grad Scale: 16384   Required: 31 hours
