Training: 2022-01-16 21:35:19,582-rank_id: 0
Training: 2022-01-16 21:35:47,776-: loss                     cosface
Training: 2022-01-16 21:35:47,777-: network                  mbf
Training: 2022-01-16 21:35:47,779-: resume                   False
Training: 2022-01-16 21:35:47,780-: output                   work_dirs/glint360k_mobileface_lr02_bs4k
Training: 2022-01-16 21:35:47,780-: embedding_size           512
Training: 2022-01-16 21:35:47,780-: sample_rate              1.0
Training: 2022-01-16 21:35:47,780-: fp16                     True
Training: 2022-01-16 21:35:47,781-: momentum                 0.9
Training: 2022-01-16 21:35:47,781-: weight_decay             0.0001
Training: 2022-01-16 21:35:47,781-: batch_size               512
Training: 2022-01-16 21:35:47,782-: lr                       0.4
Training: 2022-01-16 21:35:47,782-: dali                     False
Training: 2022-01-16 21:35:47,782-: verbose                  5000
Training: 2022-01-16 21:35:47,782-: frequent                 10
Training: 2022-01-16 21:35:47,783-: score                    None
Training: 2022-01-16 21:35:47,784-: rec                      /train_tmp/glint360k
Training: 2022-01-16 21:35:47,784-: num_classes              360232
Training: 2022-01-16 21:35:47,784-: num_image                17091657
Training: 2022-01-16 21:35:47,784-: num_epoch                20
Training: 2022-01-16 21:35:47,784-: warmup_epoch             2
Training: 2022-01-16 21:35:47,784-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-16 21:35:47,787-: warmup_step              8344
Training: 2022-01-16 21:35:47,787-: total_step               83440
Training: 2022-01-16 21:37:19,598-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-16 21:37:26,401-Speed 11800.04 samples/sec   Loss 42.3526   LearningRate 0.0010   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 8192   Required: 42 hours
Training: 2022-01-16 21:37:29,796-Speed 12067.57 samples/sec   Loss 42.3427   LearningRate 0.0014   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 8192   Required: 31 hours
Training: 2022-01-16 21:37:33,355-Speed 11517.53 samples/sec   Loss 42.3639   LearningRate 0.0019   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 8192   Required: 25 hours
Training: 2022-01-16 21:37:38,435-Speed 8066.77 samples/sec   Loss 42.3336   LearningRate 0.0024   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 8192   Required: 23 hours
Training: 2022-01-16 21:37:42,453-Speed 10196.88 samples/sec   Loss 42.3310   LearningRate 0.0029   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 8192   Required: 20 hours
Training: 2022-01-16 21:37:46,423-Speed 10328.91 samples/sec   Loss 42.3667   LearningRate 0.0034   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 8192   Required: 19 hours
Training: 2022-01-16 21:37:50,298-Speed 10575.69 samples/sec   Loss 42.3169   LearningRate 0.0038   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 8192   Required: 18 hours
