Training: 2022-01-16 21:35:48,806-rank_id: 0
Training: 2022-01-16 21:36:18,835-: loss                     cosface
Training: 2022-01-16 21:36:18,836-: network                  r100
Training: 2022-01-16 21:36:18,836-: resume                   False
Training: 2022-01-16 21:36:18,836-: output                   work_dirs/glint360k_r100_lr02_bs4k_16gpus
Training: 2022-01-16 21:36:18,836-: embedding_size           512
Training: 2022-01-16 21:36:18,836-: sample_rate              1.0
Training: 2022-01-16 21:36:18,837-: fp16                     True
Training: 2022-01-16 21:36:18,837-: momentum                 0.9
Training: 2022-01-16 21:36:18,837-: weight_decay             0.0005
Training: 2022-01-16 21:36:18,837-: batch_size               256
Training: 2022-01-16 21:36:18,837-: lr                       0.4
Training: 2022-01-16 21:36:18,837-: dali                     False
Training: 2022-01-16 21:36:18,837-: verbose                  5000
Training: 2022-01-16 21:36:18,837-: frequent                 10
Training: 2022-01-16 21:36:18,837-: score                    None
Training: 2022-01-16 21:36:18,837-: rec                      /train_tmp/glint360k
Training: 2022-01-16 21:36:18,837-: num_classes              360232
Training: 2022-01-16 21:36:18,837-: num_image                17091657
Training: 2022-01-16 21:36:18,837-: num_epoch                20
Training: 2022-01-16 21:36:18,837-: warmup_epoch             2
Training: 2022-01-16 21:36:18,837-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-16 21:36:18,837-: warmup_step              8344
Training: 2022-01-16 21:36:18,837-: total_step               83440
Training: 2022-01-16 21:37:47,588-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-16 21:38:03,643-Speed 4834.26 samples/sec   Loss 42.3598   LearningRate 0.0010   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 51 hours
Training: 2022-01-16 21:38:12,096-Speed 4846.83 samples/sec   Loss 42.3379   LearningRate 0.0014   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 41 hours
Training: 2022-01-16 21:38:20,326-Speed 4978.24 samples/sec   Loss 42.3521   LearningRate 0.0019   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 36 hours
Training: 2022-01-16 21:38:28,642-Speed 4926.09 samples/sec   Loss 42.3252   LearningRate 0.0024   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2022-01-16 21:38:37,021-Speed 4889.62 samples/sec   Loss 42.2611   LearningRate 0.0029   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 30 hours
Training: 2022-01-16 21:38:45,231-Speed 4989.86 samples/sec   Loss 42.2046   LearningRate 0.0034   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 29 hours
Training: 2022-01-16 21:38:53,457-Speed 4980.60 samples/sec   Loss 42.1659   LearningRate 0.0038   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 27 hours
Training: 2022-01-16 21:39:01,595-Speed 5034.66 samples/sec   Loss 42.1064   LearningRate 0.0043   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 26 hours
Training: 2022-01-16 21:39:09,978-Speed 4887.11 samples/sec   Loss 42.0092   LearningRate 0.0048   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 26 hours
Training: 2022-01-16 21:39:18,290-Speed 4928.63 samples/sec   Loss 41.8919   LearningRate 0.0053   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 25 hours
Training: 2022-01-16 21:39:26,585-Speed 4938.70 samples/sec   Loss 41.7167   LearningRate 0.0058   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 25 hours
Training: 2022-01-16 21:39:34,727-Speed 5031.31 samples/sec   Loss 41.4520   LearningRate 0.0062   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-16 21:39:42,979-Speed 4964.64 samples/sec   Loss 41.1694   LearningRate 0.0067   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-16 21:39:51,124-Speed 5029.95 samples/sec   Loss 40.8227   LearningRate 0.0072   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-16 21:39:59,231-Speed 5053.17 samples/sec   Loss 40.4952   LearningRate 0.0077   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 23 hours
Training: 2022-01-16 21:40:07,408-Speed 5009.78 samples/sec   Loss 40.1500   LearningRate 0.0081   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 23 hours
Training: 2022-01-16 21:40:15,555-Speed 5028.51 samples/sec   Loss 39.8512   LearningRate 0.0086   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 23 hours
Training: 2022-01-16 21:40:23,829-Speed 4951.39 samples/sec   Loss 39.5800   LearningRate 0.0091   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 23 hours
Training: 2022-01-16 21:40:31,941-Speed 5050.22 samples/sec   Loss 39.3429   LearningRate 0.0096   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 22 hours
Training: 2022-01-16 21:40:40,193-Speed 4964.43 samples/sec   Loss 39.1648   LearningRate 0.0101   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 22 hours
Training: 2022-01-16 21:40:48,497-Speed 4933.61 samples/sec   Loss 38.9826   LearningRate 0.0105   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 22 hours
