Training: 2022-04-10 23:14:04,187-rank_id: 0
Training: 2022-04-10 23:14:18,205-: margin_list              [1.0, 0.5, 0.0]
Training: 2022-04-10 23:14:18,205-: network                  mbf
Training: 2022-04-10 23:14:18,205-: resume                   False
Training: 2022-04-10 23:14:18,205-: output                   work_dirs/ms1mv2_mbf
Training: 2022-04-10 23:14:18,205-: embedding_size           512
Training: 2022-04-10 23:14:18,205-: sample_rate              1.0
Training: 2022-04-10 23:14:18,205-: interclass_filtering_threshold0
Training: 2022-04-10 23:14:18,205-: fp16                     True
Training: 2022-04-10 23:14:18,205-: batch_size               128
Training: 2022-04-10 23:14:18,206-: optimizer                sgd
Training: 2022-04-10 23:14:18,206-: lr                       0.1
Training: 2022-04-10 23:14:18,206-: momentum                 0.9
Training: 2022-04-10 23:14:18,206-: weight_decay             0.0001
Training: 2022-04-10 23:14:18,206-: verbose                  2000
Training: 2022-04-10 23:14:18,208-: frequent                 10
Training: 2022-04-10 23:14:18,208-: dali                     False
Training: 2022-04-10 23:14:18,208-: rec                      /train_tmp/faces_emore
Training: 2022-04-10 23:14:18,208-: num_classes              85742
Training: 2022-04-10 23:14:18,208-: num_image                5822653
Training: 2022-04-10 23:14:18,208-: num_epoch                40
Training: 2022-04-10 23:14:18,208-: warmup_epoch             0
Training: 2022-04-10 23:14:18,208-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-04-10 23:14:18,210-: total_batch_size         1024
Training: 2022-04-10 23:14:18,210-: warmup_step              0
Training: 2022-04-10 23:14:18,210-: total_step               227440
Training: 2022-04-10 23:15:26,699-Reducer buckets have been rebuilt in this iteration.
Training: 2022-04-10 23:15:28,458-Speed 10543.27 samples/sec   Loss 46.0198   LearningRate 0.1000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 4096   Required: 37 hours
Training: 2022-04-10 23:15:29,424-Speed 10602.88 samples/sec   Loss 46.2574   LearningRate 0.1000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 4096   Required: 27 hours
Training: 2022-04-10 23:15:30,385-Speed 10663.85 samples/sec   Loss 46.3898   LearningRate 0.1000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 4096   Required: 22 hours
Training: 2022-04-10 23:15:31,327-Speed 10878.69 samples/sec   Loss 46.8636   LearningRate 0.1000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 4096   Required: 19 hours
Training: 2022-04-10 23:15:32,303-Speed 10500.90 samples/sec   Loss 47.2565   LearningRate 0.0999   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 4096   Required: 17 hours
Training: 2022-04-10 23:15:33,257-Speed 10742.10 samples/sec   Loss 46.9308   LearningRate 0.0999   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 4096   Required: 15 hours
Training: 2022-04-10 23:15:34,173-Speed 11194.52 samples/sec   Loss 47.2892   LearningRate 0.0999   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 4096   Required: 14 hours
Training: 2022-04-10 23:15:35,112-Speed 10906.93 samples/sec   Loss 47.0307   LearningRate 0.0999   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 4096   Required: 13 hours
Training: 2022-04-10 23:15:36,045-Speed 10980.51 samples/sec   Loss 46.9070   LearningRate 0.0999   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 4096   Required: 12 hours
Training: 2022-04-10 23:15:37,054-Speed 10152.49 samples/sec   Loss 47.0158   LearningRate 0.0999   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 8192   Required: 12 hours
Training: 2022-04-10 23:15:38,011-Speed 10707.21 samples/sec   Loss 46.8671   LearningRate 0.0999   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 8192   Required: 11 hours
Training: 2022-04-10 23:15:38,974-Speed 10648.53 samples/sec   Loss 46.8866   LearningRate 0.0999   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 8192   Required: 11 hours
Training: 2022-04-10 23:15:39,954-Speed 10451.27 samples/sec   Loss 46.7577   LearningRate 0.0999   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 8192   Required: 11 hours
Training: 2022-04-10 23:15:40,889-Speed 10963.09 samples/sec   Loss 46.7778   LearningRate 0.0999   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2022-04-10 23:15:41,819-Speed 11022.17 samples/sec   Loss 46.5865   LearningRate 0.0999   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 8192   Required: 10 hours
