Training: 2022-04-10 23:14:08,767-rank_id: 0
Training: 2022-04-10 23:14:23,183-: margin_list              [1.0, 0.5, 0.0]
Training: 2022-04-10 23:14:23,183-: network                  r50
Training: 2022-04-10 23:14:23,184-: resume                   False
Training: 2022-04-10 23:14:23,184-: output                   work_dirs/ms1mv2_r50
Training: 2022-04-10 23:14:23,184-: embedding_size           512
Training: 2022-04-10 23:14:23,184-: sample_rate              1.0
Training: 2022-04-10 23:14:23,184-: interclass_filtering_threshold0
Training: 2022-04-10 23:14:23,184-: fp16                     True
Training: 2022-04-10 23:14:23,184-: batch_size               128
Training: 2022-04-10 23:14:23,184-: optimizer                sgd
Training: 2022-04-10 23:14:23,184-: lr                       0.1
Training: 2022-04-10 23:14:23,184-: momentum                 0.9
Training: 2022-04-10 23:14:23,184-: weight_decay             0.0001
Training: 2022-04-10 23:14:23,184-: verbose                  2000
Training: 2022-04-10 23:14:23,184-: frequent                 10
Training: 2022-04-10 23:14:23,184-: dali                     False
Training: 2022-04-10 23:14:23,184-: rec                      /train_tmp/faces_emore
Training: 2022-04-10 23:14:23,184-: num_classes              85742
Training: 2022-04-10 23:14:23,184-: num_image                5822653
Training: 2022-04-10 23:14:23,184-: num_epoch                20
Training: 2022-04-10 23:14:23,184-: warmup_epoch             0
Training: 2022-04-10 23:14:23,184-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-04-10 23:14:23,184-: total_batch_size         1024
Training: 2022-04-10 23:14:23,184-: warmup_step              0
Training: 2022-04-10 23:14:23,185-: total_step               113720
Training: 2022-04-10 23:15:31,475-Reducer buckets have been rebuilt in this iteration.
Training: 2022-04-10 23:15:34,806-Speed 5469.96 samples/sec   Loss 46.4793   LearningRate 0.1000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 21 hours
Training: 2022-04-10 23:15:36,623-Speed 5637.79 samples/sec   Loss 47.8871   LearningRate 0.0999   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 16 hours
Training: 2022-04-10 23:15:38,444-Speed 5628.10 samples/sec   Loss 47.5034   LearningRate 0.0999   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-04-10 23:15:40,251-Speed 5668.12 samples/sec   Loss 47.5499   LearningRate 0.0999   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 12 hours
Training: 2022-04-10 23:15:42,061-Speed 5659.37 samples/sec   Loss 47.5954   LearningRate 0.0999   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 11 hours
Training: 2022-04-10 23:15:43,874-Speed 5653.44 samples/sec   Loss 47.3036   LearningRate 0.0999   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 10 hours
Training: 2022-04-10 23:15:45,662-Speed 5729.58 samples/sec   Loss 47.2207   LearningRate 0.0999   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 10 hours
Training: 2022-04-10 23:15:47,485-Speed 5619.55 samples/sec   Loss 46.7644   LearningRate 0.0998   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 9 hours
Training: 2022-04-10 23:15:49,279-Speed 5710.97 samples/sec   Loss 46.4068   LearningRate 0.0998   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 9 hours
Training: 2022-04-10 23:15:51,081-Speed 5682.74 samples/sec   Loss 46.3030   LearningRate 0.0998   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 9 hours
Training: 2022-04-10 23:15:52,865-Speed 5746.88 samples/sec   Loss 46.1378   LearningRate 0.0998   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:15:54,659-Speed 5709.72 samples/sec   Loss 45.7876   LearningRate 0.0998   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:15:56,462-Speed 5680.20 samples/sec   Loss 45.6497   LearningRate 0.0998   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:15:58,251-Speed 5729.16 samples/sec   Loss 45.4168   LearningRate 0.0997   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:16:00,048-Speed 5699.94 samples/sec   Loss 45.2475   LearningRate 0.0997   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:16:01,834-Speed 5735.69 samples/sec   Loss 45.0549   LearningRate 0.0997   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-10 23:16:03,620-Speed 5736.29 samples/sec   Loss 44.8753   LearningRate 0.0997   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 7 hours
Training: 2022-04-10 23:16:05,436-Speed 5638.76 samples/sec   Loss 44.5693   LearningRate 0.0997   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 32768   Required: 7 hours
Training: 2022-04-10 23:16:07,231-Speed 5708.36 samples/sec   Loss 44.4345   LearningRate 0.0996   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 32768   Required: 7 hours
Training: 2022-04-10 23:16:09,020-Speed 5725.68 samples/sec   Loss 44.2855   LearningRate 0.0996   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:10,823-Speed 5681.78 samples/sec   Loss 43.9698   LearningRate 0.0996   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:12,621-Speed 5696.48 samples/sec   Loss 43.8868   LearningRate 0.0996   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:14,441-Speed 5627.59 samples/sec   Loss 43.6525   LearningRate 0.0996   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:16,233-Speed 5718.30 samples/sec   Loss 43.3045   LearningRate 0.0996   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:18,017-Speed 5743.29 samples/sec   Loss 43.2144   LearningRate 0.0995   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:19,804-Speed 5731.21 samples/sec   Loss 43.0811   LearningRate 0.0995   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:21,592-Speed 5731.33 samples/sec   Loss 42.8455   LearningRate 0.0995   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:23,381-Speed 5724.43 samples/sec   Loss 42.7332   LearningRate 0.0995   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:25,167-Speed 5733.83 samples/sec   Loss 42.5204   LearningRate 0.0995   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 65536   Required: 7 hours
Training: 2022-04-10 23:16:26,983-Speed 5643.93 samples/sec   Loss 42.3309   LearningRate 0.0995   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:28,778-Speed 5704.33 samples/sec   Loss 42.0747   LearningRate 0.0994   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:30,603-Speed 5615.22 samples/sec   Loss 41.9056   LearningRate 0.0994   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:32,395-Speed 5715.70 samples/sec   Loss 41.7536   LearningRate 0.0994   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:34,204-Speed 5663.32 samples/sec   Loss 41.5511   LearningRate 0.0994   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:36,012-Speed 5664.63 samples/sec   Loss 41.2469   LearningRate 0.0994   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:37,824-Speed 5654.20 samples/sec   Loss 41.1191   LearningRate 0.0994   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:39,634-Speed 5660.70 samples/sec   Loss 40.9862   LearningRate 0.0993   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:41,456-Speed 5623.20 samples/sec   Loss 40.8736   LearningRate 0.0993   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 131072   Required: 7 hours
Training: 2022-04-10 23:16:43,242-Speed 5735.29 samples/sec   Loss 40.6454   LearningRate 0.0993   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:16:45,029-Speed 5731.44 samples/sec   Loss 40.4876   LearningRate 0.0993   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:16:46,829-Speed 5690.96 samples/sec   Loss 40.3734   LearningRate 0.0993   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:16:48,614-Speed 5739.12 samples/sec   Loss 40.1217   LearningRate 0.0992   Epoch: 0   Global Step: 430   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:16:50,420-Speed 5672.76 samples/sec   Loss 40.0454   LearningRate 0.0992   Epoch: 0   Global Step: 440   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:16:52,238-Speed 5633.82 samples/sec   Loss 39.7653   LearningRate 0.0992   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:16:54,024-Speed 5737.39 samples/sec   Loss 39.7019   LearningRate 0.0992   Epoch: 0   Global Step: 460   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:16:55,815-Speed 5719.76 samples/sec   Loss 39.5480   LearningRate 0.0992   Epoch: 0   Global Step: 470   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:16:57,598-Speed 5744.53 samples/sec   Loss 39.3341   LearningRate 0.0992   Epoch: 0   Global Step: 480   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:16:59,380-Speed 5748.39 samples/sec   Loss 39.2460   LearningRate 0.0991   Epoch: 0   Global Step: 490   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:01,183-Speed 5680.73 samples/sec   Loss 39.0091   LearningRate 0.0991   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:02,988-Speed 5678.90 samples/sec   Loss 38.9385   LearningRate 0.0991   Epoch: 0   Global Step: 510   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:04,777-Speed 5725.45 samples/sec   Loss 38.7553   LearningRate 0.0991   Epoch: 0   Global Step: 520   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:06,571-Speed 5710.19 samples/sec   Loss 38.4774   LearningRate 0.0991   Epoch: 0   Global Step: 530   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:08,360-Speed 5726.20 samples/sec   Loss 38.2129   LearningRate 0.0991   Epoch: 0   Global Step: 540   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:10,148-Speed 5728.65 samples/sec   Loss 38.1480   LearningRate 0.0990   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:11,991-Speed 5559.24 samples/sec   Loss 38.0554   LearningRate 0.0990   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:13,794-Speed 5679.93 samples/sec   Loss 37.7995   LearningRate 0.0990   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:15,608-Speed 5646.44 samples/sec   Loss 37.7613   LearningRate 0.0990   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:17,421-Speed 5651.05 samples/sec   Loss 37.5635   LearningRate 0.0990   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:19,207-Speed 5738.28 samples/sec   Loss 37.4189   LearningRate 0.0989   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:20,993-Speed 5734.16 samples/sec   Loss 37.2552   LearningRate 0.0989   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:22,782-Speed 5725.66 samples/sec   Loss 37.0515   LearningRate 0.0989   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:24,574-Speed 5723.41 samples/sec   Loss 36.7528   LearningRate 0.0989   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:26,370-Speed 5703.20 samples/sec   Loss 36.7899   LearningRate 0.0989   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:28,165-Speed 5707.19 samples/sec   Loss 36.6637   LearningRate 0.0989   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:29,971-Speed 5671.46 samples/sec   Loss 36.3863   LearningRate 0.0988   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:31,774-Speed 5681.34 samples/sec   Loss 36.2981   LearningRate 0.0988   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:33,560-Speed 5736.96 samples/sec   Loss 36.0741   LearningRate 0.0988   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:35,348-Speed 5727.19 samples/sec   Loss 35.8515   LearningRate 0.0988   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:37,149-Speed 5690.22 samples/sec   Loss 35.8049   LearningRate 0.0988   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:38,937-Speed 5727.99 samples/sec   Loss 35.5550   LearningRate 0.0988   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:40,743-Speed 5674.04 samples/sec   Loss 35.4671   LearningRate 0.0987   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:42,541-Speed 5695.94 samples/sec   Loss 35.3500   LearningRate 0.0987   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:44,327-Speed 5735.58 samples/sec   Loss 35.1785   LearningRate 0.0987   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 131072   Required: 6 hours
Training: 2022-04-10 23:17:46,112-Speed 5740.30 samples/sec   Loss 35.1210   LearningRate 0.0987   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 262144   Required: 6 hours
Training: 2022-04-10 23:17:47,915-Speed 5682.39 samples/sec   Loss 34.7794   LearningRate 0.0987   Epoch: 0   Global Step: 760   Fp16 Grad Scale: 262144   Required: 6 hours
