Training: 2021-03-05 10:55:08,966-rank_id: 0
Training: 2021-03-05 10:55:15,406-No pretrain found, backbone init successfully!
Training: 2021-03-05 10:55:17,828-softmax weight init successfully!
Training: 2021-03-05 10:55:17,829-softmax weight mom init successfully!
Training: 2021-03-05 10:55:17,832-Total Step is: 249100
Training: 2021-03-05 10:55:55,631-Reducer buckets have been rebuilt in this iteration.
Training: 2021-03-05 10:56:16,056-Speed 2593.81 samples/sec   Loss 47.3381   Epoch: 0   Global Step: 100   Required: 15 hours
Training: 2021-03-05 10:56:27,393-Speed 2258.24 samples/sec   Loss 46.9209   Epoch: 0   Global Step: 150   Required: 15 hours
Training: 2021-03-05 10:56:37,176-Speed 2617.02 samples/sec   Loss 46.2965   Epoch: 0   Global Step: 200   Required: 15 hours
Training: 2021-03-05 10:56:47,232-Speed 2545.73 samples/sec   Loss 45.8918   Epoch: 0   Global Step: 250   Required: 15 hours
Training: 2021-03-05 10:56:57,002-Speed 2620.65 samples/sec   Loss 45.3584   Epoch: 0   Global Step: 300   Required: 14 hours
Training: 2021-03-05 10:57:06,889-Speed 2589.46 samples/sec   Loss 44.9102   Epoch: 0   Global Step: 350   Required: 14 hours
Training: 2021-03-05 10:57:16,688-Speed 2612.54 samples/sec   Loss 44.4394   Epoch: 0   Global Step: 400   Required: 14 hours
Training: 2021-03-05 10:57:26,499-Speed 2609.56 samples/sec   Loss 43.9638   Epoch: 0   Global Step: 450   Required: 14 hours
Training: 2021-03-05 10:57:36,525-Speed 2553.65 samples/sec   Loss 43.4706   Epoch: 0   Global Step: 500   Required: 14 hours
Training: 2021-03-05 10:57:46,380-Speed 2597.64 samples/sec   Loss 43.1217   Epoch: 0   Global Step: 550   Required: 14 hours
Training: 2021-03-05 10:57:56,379-Speed 2560.62 samples/sec   Loss 42.5942   Epoch: 0   Global Step: 600   Required: 14 hours
Training: 2021-03-05 10:58:06,183-Speed 2611.41 samples/sec   Loss 42.2207   Epoch: 0   Global Step: 650   Required: 14 hours
