Training: 2021-03-10 19:35:02,913-rank_id: 0
Training: 2021-03-10 19:35:12,347-softmax weight init successfully!
Training: 2021-03-10 19:35:12,347-softmax weight mom init successfully!
Training: 2021-03-10 19:35:12,350-Total Step is: 249100
Training: 2021-03-10 19:35:50,747-Reducer buckets have been rebuilt in this iteration.
Training: 2021-03-10 19:36:06,470-Speed 3088.47 samples/sec   Loss 47.4908   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 128   Required: 12 hours
Training: 2021-03-10 19:36:13,649-Speed 3566.20 samples/sec   Loss 47.0138   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 128   Required: 11 hours
Training: 2021-03-10 19:36:20,839-Speed 3560.89 samples/sec   Loss 46.4564   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 256   Required: 11 hours
Training: 2021-03-10 19:36:28,199-Speed 3478.48 samples/sec   Loss 45.9296   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 256   Required: 11 hours
Training: 2021-03-10 19:36:35,259-Speed 3626.28 samples/sec   Loss 45.4125   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 512   Required: 11 hours
Training: 2021-03-10 19:36:42,665-Speed 3457.12 samples/sec   Loss 44.9343   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 512   Required: 11 hours
Training: 2021-03-10 19:36:49,973-Speed 3503.20 samples/sec   Loss 44.5486   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 1024   Required: 11 hours
Training: 2021-03-10 19:36:57,094-Speed 3595.31 samples/sec   Loss 44.0353   Epoch: 0   Global Step: 450   Fp16 Grad Scale: 1024   Required: 10 hours
Training: 2021-03-10 19:37:04,227-Speed 3589.36 samples/sec   Loss 43.5472   Epoch: 0   Global Step: 500   Fp16 Grad Scale: 2048   Required: 10 hours
Training: 2021-03-10 19:37:11,457-Speed 3540.98 samples/sec   Loss 43.1801   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 2048   Required: 10 hours
Training: 2021-03-10 19:37:18,618-Speed 3574.90 samples/sec   Loss 42.7031   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 4096   Required: 10 hours
Training: 2021-03-10 19:37:25,797-Speed 3566.57 samples/sec   Loss 42.3296   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 4096   Required: 10 hours
Training: 2021-03-10 19:37:32,908-Speed 3599.80 samples/sec   Loss 41.8764   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:37:40,080-Speed 3570.05 samples/sec   Loss 41.4098   Epoch: 0   Global Step: 750   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:37:48,119-Speed 3184.36 samples/sec   Loss 40.9692   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:37:56,407-Speed 3088.97 samples/sec   Loss 40.6498   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:03,867-Speed 3431.93 samples/sec   Loss 40.1567   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:11,028-Speed 3575.02 samples/sec   Loss 39.8701   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:18,162-Speed 3588.99 samples/sec   Loss 39.3454   Epoch: 0   Global Step: 1000   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:25,514-Speed 3482.01 samples/sec   Loss 38.9988   Epoch: 0   Global Step: 1050   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:32,684-Speed 3570.74 samples/sec   Loss 38.5088   Epoch: 0   Global Step: 1100   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:39,918-Speed 3539.16 samples/sec   Loss 38.0707   Epoch: 0   Global Step: 1150   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:47,131-Speed 3549.10 samples/sec   Loss 37.6449   Epoch: 0   Global Step: 1200   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:38:54,428-Speed 3508.81 samples/sec   Loss 37.2702   Epoch: 0   Global Step: 1250   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:01,555-Speed 3592.09 samples/sec   Loss 36.8969   Epoch: 0   Global Step: 1300   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:08,581-Speed 3643.47 samples/sec   Loss 36.3949   Epoch: 0   Global Step: 1350   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:15,787-Speed 3553.18 samples/sec   Loss 36.1312   Epoch: 0   Global Step: 1400   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:22,878-Speed 3610.41 samples/sec   Loss 35.5974   Epoch: 0   Global Step: 1450   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:29,922-Speed 3634.46 samples/sec   Loss 35.0795   Epoch: 0   Global Step: 1500   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:37,336-Speed 3453.24 samples/sec   Loss 34.7148   Epoch: 0   Global Step: 1550   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:44,490-Speed 3578.29 samples/sec   Loss 34.3950   Epoch: 0   Global Step: 1600   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:51,673-Speed 3564.35 samples/sec   Loss 33.9752   Epoch: 0   Global Step: 1650   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:39:58,793-Speed 3595.61 samples/sec   Loss 33.5269   Epoch: 0   Global Step: 1700   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:06,035-Speed 3535.37 samples/sec   Loss 33.1125   Epoch: 0   Global Step: 1750   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:13,154-Speed 3596.14 samples/sec   Loss 32.7215   Epoch: 0   Global Step: 1800   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:20,247-Speed 3609.09 samples/sec   Loss 32.2405   Epoch: 0   Global Step: 1850   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:27,639-Speed 3463.81 samples/sec   Loss 31.9466   Epoch: 0   Global Step: 1900   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:34,812-Speed 3569.18 samples/sec   Loss 31.5071   Epoch: 0   Global Step: 1950   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:40:42,058-Speed 3533.07 samples/sec   Loss 31.2173   Epoch: 0   Global Step: 2000   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2021-03-10 19:41:15,403-[lfw][2000]XNorm: 21.488034
Training: 2021-03-10 19:41:15,404-[lfw][2000]Accuracy-Flip: 0.95017+-0.00917
Training: 2021-03-10 19:41:15,404-[lfw][2000]Accuracy-Highest: 0.95017
Training: 2021-03-10 19:41:55,875-[cfp_fp][2000]XNorm: 17.507263
Training: 2021-03-10 19:41:55,876-[cfp_fp][2000]Accuracy-Flip: 0.76100+-0.01558
Training: 2021-03-10 19:41:55,876-[cfp_fp][2000]Accuracy-Highest: 0.76100
Training: 2021-03-10 19:42:30,399-[agedb_30][2000]XNorm: 18.799648
Training: 2021-03-10 19:42:30,399-[agedb_30][2000]Accuracy-Flip: 0.80250+-0.01603
Training: 2021-03-10 19:42:30,399-[agedb_30][2000]Accuracy-Highest: 0.80250
Training: 2021-03-10 19:42:37,513-Speed 221.73 samples/sec   Loss 30.7976   Epoch: 0   Global Step: 2050   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2021-03-10 19:42:44,555-Speed 3635.68 samples/sec   Loss 30.4552   Epoch: 0   Global Step: 2100   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2021-03-10 19:42:52,140-Speed 3375.47 samples/sec   Loss 30.1076   Epoch: 0   Global Step: 2150   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2021-03-10 19:42:59,273-Speed 3588.81 samples/sec   Loss 29.7252   Epoch: 0   Global Step: 2200   Fp16 Grad Scale: 8192   Required: 13 hours
