Training: 2022-01-14 13:40:55,227-rank_id: 0
Training: 2022-01-14 13:41:08,009-: loss                     arcface
Training: 2022-01-14 13:41:08,010-: network                  mbf
Training: 2022-01-14 13:41:08,010-: resume                   False
Training: 2022-01-14 13:41:08,010-: output                   work_dirs/ms1mv3_mobileface_lr02
Training: 2022-01-14 13:41:08,010-: embedding_size           512
Training: 2022-01-14 13:41:08,010-: sample_rate              1.0
Training: 2022-01-14 13:41:08,010-: fp16                     True
Training: 2022-01-14 13:41:08,010-: momentum                 0.9
Training: 2022-01-14 13:41:08,010-: weight_decay             0.0001
Training: 2022-01-14 13:41:08,011-: batch_size               256
Training: 2022-01-14 13:41:08,011-: lr                       0.2
Training: 2022-01-14 13:41:08,011-: dali                     False
Training: 2022-01-14 13:41:08,011-: verbose                  5000
Training: 2022-01-14 13:41:08,011-: frequent                 10
Training: 2022-01-14 13:41:08,011-: score                    None
Training: 2022-01-14 13:41:08,011-: rec                      /train_tmp/ms1m-retinaface-t1
Training: 2022-01-14 13:41:08,011-: num_classes              93431
Training: 2022-01-14 13:41:08,011-: num_image                5179510
Training: 2022-01-14 13:41:08,011-: num_epoch                40
Training: 2022-01-14 13:41:08,011-: warmup_epoch             2
Training: 2022-01-14 13:41:08,011-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-14 13:41:08,011-: warmup_step              5058
Training: 2022-01-14 13:41:08,011-: total_step               101160
Training: 2022-01-14 13:42:18,075-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-14 13:42:21,349-Speed 12877.29 samples/sec   Loss 41.0112   LearningRate 0.0008   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 4096   Required: 19 hours
Training: 2022-01-14 13:42:22,915-Speed 13086.64 samples/sec   Loss 41.0093   LearningRate 0.0012   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 4096   Required: 14 hours
Training: 2022-01-14 13:42:24,482-Speed 13072.91 samples/sec   Loss 40.9579   LearningRate 0.0016   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 4096   Required: 12 hours
Training: 2022-01-14 13:42:26,054-Speed 13039.19 samples/sec   Loss 40.9894   LearningRate 0.0020   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 4096   Required: 11 hours
Training: 2022-01-14 13:42:27,647-Speed 12865.71 samples/sec   Loss 40.9625   LearningRate 0.0024   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 4096   Required: 10 hours
Training: 2022-01-14 13:42:29,886-Speed 9154.10 samples/sec   Loss 40.9756   LearningRate 0.0028   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 4096   Required: 9 hours
Training: 2022-01-14 13:42:31,482-Speed 12854.13 samples/sec   Loss 40.9507   LearningRate 0.0032   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 4096   Required: 9 hours
Training: 2022-01-14 13:42:33,072-Speed 12889.48 samples/sec   Loss 40.8658   LearningRate 0.0036   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 4096   Required: 8 hours
Training: 2022-01-14 13:42:34,659-Speed 12912.14 samples/sec   Loss 40.8802   LearningRate 0.0040   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 4096   Required: 8 hours
Training: 2022-01-14 13:42:36,244-Speed 12932.03 samples/sec   Loss 40.8394   LearningRate 0.0043   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 8192   Required: 7 hours
Training: 2022-01-14 13:42:37,842-Speed 12827.57 samples/sec   Loss 40.7040   LearningRate 0.0047   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 8192   Required: 7 hours
Training: 2022-01-14 13:42:39,433-Speed 12883.96 samples/sec   Loss 40.5941   LearningRate 0.0051   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 8192   Required: 7 hours
Training: 2022-01-14 13:42:41,027-Speed 12853.59 samples/sec   Loss 40.3550   LearningRate 0.0055   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 8192   Required: 7 hours
Training: 2022-01-14 13:42:42,613-Speed 12920.39 samples/sec   Loss 40.0046   LearningRate 0.0059   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 8192   Required: 7 hours
Training: 2022-01-14 13:42:44,189-Speed 13011.65 samples/sec   Loss 39.6351   LearningRate 0.0063   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 8192   Required: 6 hours
Training: 2022-01-14 13:42:45,796-Speed 12744.66 samples/sec   Loss 39.2199   LearningRate 0.0067   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 8192   Required: 6 hours
Training: 2022-01-14 13:42:47,383-Speed 12911.65 samples/sec   Loss 38.8339   LearningRate 0.0071   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 8192   Required: 6 hours
Training: 2022-01-14 13:42:48,992-Speed 12743.26 samples/sec   Loss 38.4806   LearningRate 0.0075   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 8192   Required: 6 hours
Training: 2022-01-14 13:42:50,532-Speed 13304.36 samples/sec   Loss 38.2588   LearningRate 0.0079   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 8192   Required: 6 hours
Training: 2022-01-14 13:42:52,108-Speed 13009.71 samples/sec   Loss 38.0594   LearningRate 0.0083   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:42:53,691-Speed 12953.04 samples/sec   Loss 37.9383   LearningRate 0.0087   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:42:55,275-Speed 12940.53 samples/sec   Loss 37.8477   LearningRate 0.0091   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:42:56,868-Speed 12861.19 samples/sec   Loss 37.7748   LearningRate 0.0095   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:42:58,445-Speed 13002.27 samples/sec   Loss 37.7501   LearningRate 0.0099   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:00,032-Speed 12907.15 samples/sec   Loss 37.6720   LearningRate 0.0103   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:01,649-Speed 12672.04 samples/sec   Loss 37.6668   LearningRate 0.0107   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:03,209-Speed 13166.10 samples/sec   Loss 37.6281   LearningRate 0.0111   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:04,768-Speed 13149.78 samples/sec   Loss 37.6304   LearningRate 0.0115   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:06,361-Speed 12859.36 samples/sec   Loss 37.5899   LearningRate 0.0119   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 16384   Required: 6 hours
Training: 2022-01-14 13:43:07,950-Speed 12899.28 samples/sec   Loss 37.6025   LearningRate 0.0123   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 32768   Required: 5 hours
Training: 2022-01-14 13:43:09,536-Speed 12923.92 samples/sec   Loss 37.6229   LearningRate 0.0127   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 32768   Required: 5 hours
Training: 2022-01-14 13:43:11,116-Speed 12968.62 samples/sec   Loss 37.5783   LearningRate 0.0130   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 32768   Required: 5 hours
Training: 2022-01-14 13:43:12,684-Speed 13072.25 samples/sec   Loss 37.5656   LearningRate 0.0134   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 32768   Required: 5 hours
Training: 2022-01-14 13:43:14,298-Speed 12696.95 samples/sec   Loss 37.5660   LearningRate 0.0138   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 32768   Required: 5 hours
