Training: 2022-01-19 17:01:23,058-rank_id: 0
Training: 2022-01-19 17:01:37,193-: loss                     arcface
Training: 2022-01-19 17:01:37,194-: network                  r100
Training: 2022-01-19 17:01:37,194-: resume                   False
Training: 2022-01-19 17:01:37,194-: output                   work_dirs/ms1mv3_r100_lr02
Training: 2022-01-19 17:01:37,194-: embedding_size           512
Training: 2022-01-19 17:01:37,194-: sample_rate              1.0
Training: 2022-01-19 17:01:37,194-: fp16                     True
Training: 2022-01-19 17:01:37,194-: momentum                 0.9
Training: 2022-01-19 17:01:37,194-: weight_decay             0.0005
Training: 2022-01-19 17:01:37,194-: batch_size               128
Training: 2022-01-19 17:01:37,194-: lr                       0.2
Training: 2022-01-19 17:01:37,194-: dali                     False
Training: 2022-01-19 17:01:37,194-: verbose                  2000
Training: 2022-01-19 17:01:37,194-: frequent                 10
Training: 2022-01-19 17:01:37,194-: score                    None
Training: 2022-01-19 17:01:37,194-: rec                      /train_tmp/ms1m-retinaface-t1
Training: 2022-01-19 17:01:37,194-: num_classes              93431
Training: 2022-01-19 17:01:37,194-: num_image                5179510
Training: 2022-01-19 17:01:37,194-: num_epoch                25
Training: 2022-01-19 17:01:37,194-: warmup_epoch             0
Training: 2022-01-19 17:01:37,194-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-19 17:01:37,195-: warmup_step              0
Training: 2022-01-19 17:01:37,195-: total_step               126450
Training: 2022-01-19 17:02:44,674-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-19 17:02:50,588-Speed 3353.03 samples/sec   Loss 49.5924   LearningRate 0.1999   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 27 hours
Training: 2022-01-19 17:02:53,589-Speed 3413.52 samples/sec   Loss 53.4721   LearningRate 0.1999   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 22 hours
Training: 2022-01-19 17:02:56,575-Speed 3431.15 samples/sec   Loss 54.8683   LearningRate 0.1999   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 19 hours
Training: 2022-01-19 17:02:59,545-Speed 3447.99 samples/sec   Loss 55.3376   LearningRate 0.1998   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 17 hours
Training: 2022-01-19 17:03:02,489-Speed 3480.11 samples/sec   Loss 55.1316   LearningRate 0.1998   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 16 hours
Training: 2022-01-19 17:03:05,470-Speed 3436.11 samples/sec   Loss 56.0799   LearningRate 0.1998   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 15 hours
Training: 2022-01-19 17:03:08,447-Speed 3441.55 samples/sec   Loss 55.6759   LearningRate 0.1997   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 15 hours
Training: 2022-01-19 17:03:11,368-Speed 3506.56 samples/sec   Loss 54.1533   LearningRate 0.1997   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-19 17:03:14,348-Speed 3437.05 samples/sec   Loss 54.0587   LearningRate 0.1997   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-19 17:03:17,354-Speed 3408.67 samples/sec   Loss 53.3182   LearningRate 0.1997   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 14 hours
Training: 2022-01-19 17:03:20,306-Speed 3469.88 samples/sec   Loss 52.7126   LearningRate 0.1996   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 13 hours
