Training: 2022-03-03 08:04:25,066-rank_id: 0
Training: 2022-03-03 08:05:28,575-Speed 13912.69 samples/sec   Loss 42.4892   LearningRate 0.0000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 35 hours
Training: 2022-03-03 08:05:46,223-Speed 13926.31 samples/sec   Loss 42.4764   LearningRate 0.0000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 35 hours
Training: 2022-03-03 08:06:04,049-Speed 13787.92 samples/sec   Loss 42.4636   LearningRate 0.0000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 35 hours
Training: 2022-03-03 08:06:21,863-Speed 13797.58 samples/sec   Loss 42.4250   LearningRate 0.0000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 35 hours
Training: 2022-03-03 08:06:39,678-Speed 13795.80 samples/sec   Loss 42.3780   LearningRate 0.0000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:06:57,458-Speed 13824.54 samples/sec   Loss 42.2783   LearningRate 0.0000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:07:15,280-Speed 13791.01 samples/sec   Loss 42.1334   LearningRate 0.0000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:07:33,029-Speed 13847.08 samples/sec   Loss 41.9596   LearningRate 0.0000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:07:50,813-Speed 13820.37 samples/sec   Loss 41.7365   LearningRate 0.0000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:08:08,717-Speed 13727.80 samples/sec   Loss 41.4752   LearningRate 0.0000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:08:26,526-Speed 13800.93 samples/sec   Loss 41.2082   LearningRate 0.0000   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:08:44,253-Speed 13863.98 samples/sec   Loss 40.9147   LearningRate 0.0000   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:09:02,054-Speed 13807.67 samples/sec   Loss 40.6283   LearningRate 0.0000   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:09:19,820-Speed 13834.18 samples/sec   Loss 40.3172   LearningRate 0.0000   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:09:37,573-Speed 13844.00 samples/sec   Loss 40.0319   LearningRate 0.0000   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:09:55,367-Speed 13812.18 samples/sec   Loss 39.7825   LearningRate 0.0000   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 34 hours
Training: 2022-03-03 08:10:13,153-Speed 13818.63 samples/sec   Loss 39.5631   LearningRate 0.0000   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:10:30,955-Speed 13806.28 samples/sec   Loss 39.3847   LearningRate 0.0000   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:10:48,686-Speed 13860.77 samples/sec   Loss 39.2179   LearningRate 0.0000   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 65536   Required: 34 hours
Training: 2022-03-03 08:11:06,539-Speed 13766.89 samples/sec   Loss 39.0972   LearningRate 0.0000   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 34 hours
Training: 2022-03-03 08:11:24,268-Speed 13862.74 samples/sec   Loss 39.0031   LearningRate 0.0000   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 34 hours
