Training: 2022-03-04 20:30:03,610-rank_id: 0
Training: 2022-03-04 20:31:59,200-Speed 9419.43 samples/sec   Loss 42.4879   LearningRate 0.0000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:32:25,370-Speed 9391.83 samples/sec   Loss 42.4783   LearningRate 0.0000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:32:51,479-Speed 9413.31 samples/sec   Loss 42.4502   LearningRate 0.0000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:33:17,610-Speed 9405.67 samples/sec   Loss 42.4231   LearningRate 0.0000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:33:43,805-Speed 9382.61 samples/sec   Loss 42.3702   LearningRate 0.0000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:34:10,003-Speed 9381.28 samples/sec   Loss 42.2705   LearningRate 0.0000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:34:36,158-Speed 9397.12 samples/sec   Loss 42.1277   LearningRate 0.0000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:35:02,302-Speed 9400.49 samples/sec   Loss 41.9391   LearningRate 0.0000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:35:28,470-Speed 9392.39 samples/sec   Loss 41.7228   LearningRate 0.0000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:35:54,664-Speed 9383.88 samples/sec   Loss 41.4637   LearningRate 0.0000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:36:20,776-Speed 9412.54 samples/sec   Loss 41.1974   LearningRate 0.0000   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:36:46,920-Speed 9400.55 samples/sec   Loss 40.9261   LearningRate 0.0000   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:37:13,123-Speed 9379.80 samples/sec   Loss 40.6231   LearningRate 0.0000   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:37:39,415-Speed 9347.83 samples/sec   Loss 40.3331   LearningRate 0.0000   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:38:05,554-Speed 9403.86 samples/sec   Loss 40.0366   LearningRate 0.0000   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:38:31,700-Speed 9400.08 samples/sec   Loss 39.7915   LearningRate 0.0000   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:38:57,845-Speed 9400.66 samples/sec   Loss 39.5708   LearningRate 0.0000   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:39:24,095-Speed 9362.74 samples/sec   Loss 39.3797   LearningRate 0.0000   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 50 hours
Training: 2022-03-04 20:39:50,270-Speed 9389.90 samples/sec   Loss 39.2291   LearningRate 0.0000   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:40:16,419-Speed 9398.99 samples/sec   Loss 39.0980   LearningRate 0.0000   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:40:42,672-Speed 9361.62 samples/sec   Loss 38.9949   LearningRate 0.0000   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 50 hours
Training: 2022-03-04 20:41:08,882-Speed 9377.16 samples/sec   Loss 38.9242   LearningRate 0.0000   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 50 hours
Training: 2022-03-04 20:41:35,104-Speed 9372.62 samples/sec   Loss 38.8745   LearningRate 0.0000   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 32768   Required: 50 hours
Training: 2022-03-04 20:42:01,276-Speed 9390.97 samples/sec   Loss 38.8414   LearningRate 0.0000   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 16384   Required: 50 hours
Training: 2022-03-04 20:42:27,497-Speed 9373.19 samples/sec   Loss 38.9515   LearningRate 0.0000   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 16384   Required: 50 hours
Training: 2022-03-04 20:42:53,706-Speed 9377.37 samples/sec   Loss 38.8448   LearningRate 0.0000   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 16384   Required: 50 hours
