Training: 2022-03-25 22:36:07,736-rank_id: 0
Training: 2022-03-25 22:36:58,412-Speed 24752.70 samples/sec   Loss 42.4928   LearningRate 0.0000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 65536   Required: 23 hours
Training: 2022-03-25 22:37:08,404-Speed 24601.27 samples/sec   Loss 42.4611   LearningRate 0.0000   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 65536   Required: 22 hours
Training: 2022-03-25 22:37:18,224-Speed 25033.10 samples/sec   Loss 42.4434   LearningRate 0.0000   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 65536   Required: 21 hours
Training: 2022-03-25 22:37:28,098-Speed 24893.11 samples/sec   Loss 42.4066   LearningRate 0.0000   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 65536   Required: 21 hours
Training: 2022-03-25 22:37:37,970-Speed 24897.43 samples/sec   Loss 42.3443   LearningRate 0.0000   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 65536   Required: 20 hours
Training: 2022-03-25 22:37:47,692-Speed 25282.15 samples/sec   Loss 42.2692   LearningRate 0.0000   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 65536   Required: 20 hours
Training: 2022-03-25 22:37:57,593-Speed 24827.06 samples/sec   Loss 42.1428   LearningRate 0.0000   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 65536   Required: 20 hours
Training: 2022-03-25 22:38:07,403-Speed 25055.80 samples/sec   Loss 41.9780   LearningRate 0.0000   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 65536   Required: 20 hours
Training: 2022-03-25 22:38:17,218-Speed 25045.76 samples/sec   Loss 41.7694   LearningRate 0.0000   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 131072   Required: 20 hours
Training: 2022-03-25 22:38:26,940-Speed 25283.01 samples/sec   Loss 41.5106   LearningRate 0.0000   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 131072   Required: 20 hours
Training: 2022-03-25 22:38:36,646-Speed 25329.46 samples/sec   Loss 41.2360   LearningRate 0.0000   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 131072   Required: 20 hours
Training: 2022-03-25 22:38:46,629-Speed 24623.08 samples/sec   Loss 40.9357   LearningRate 0.0000   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 131072   Required: 20 hours
Training: 2022-03-25 22:38:56,435-Speed 25067.54 samples/sec   Loss 40.6204   LearningRate 0.0000   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:06,262-Speed 25011.07 samples/sec   Loss 40.3145   LearningRate 0.0000   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:15,977-Speed 25303.17 samples/sec   Loss 40.0316   LearningRate 0.0000   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:25,906-Speed 24753.12 samples/sec   Loss 39.7716   LearningRate 0.0000   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:35,660-Speed 25199.90 samples/sec   Loss 39.5489   LearningRate 0.0000   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:45,573-Speed 24795.62 samples/sec   Loss 39.3533   LearningRate 0.0000   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:39:55,358-Speed 25125.76 samples/sec   Loss 39.1919   LearningRate 0.0000   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 262144   Required: 19 hours
Training: 2022-03-25 22:40:05,157-Speed 25084.93 samples/sec   Loss 39.0729   LearningRate 0.0000   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 131072   Required: 19 hours
Training: 2022-03-25 22:40:14,887-Speed 25261.59 samples/sec   Loss 38.9766   LearningRate 0.0000   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:40:24,604-Speed 25297.40 samples/sec   Loss 38.8966   LearningRate 0.0000   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:40:35,552-Speed 22449.68 samples/sec   Loss 38.8501   LearningRate 0.0000   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:40:45,377-Speed 25019.55 samples/sec   Loss 38.8173   LearningRate 0.0000   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:40:55,209-Speed 24999.09 samples/sec   Loss 38.7820   LearningRate 0.0000   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:04,964-Speed 25195.94 samples/sec   Loss 38.7643   LearningRate 0.0000   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:14,766-Speed 25078.41 samples/sec   Loss 38.7602   LearningRate 0.0000   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:24,563-Speed 25089.73 samples/sec   Loss 38.7441   LearningRate 0.0000   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:35,110-Speed 23305.06 samples/sec   Loss 38.7394   LearningRate 0.0000   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:44,998-Speed 24859.36 samples/sec   Loss 38.7302   LearningRate 0.0000   Epoch: 0   Global Step: 310   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:41:54,839-Speed 24976.39 samples/sec   Loss 38.7246   LearningRate 0.0000   Epoch: 0   Global Step: 320   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:42:04,500-Speed 25444.07 samples/sec   Loss 38.7257   LearningRate 0.0000   Epoch: 0   Global Step: 330   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:42:14,379-Speed 24881.89 samples/sec   Loss 38.7195   LearningRate 0.0000   Epoch: 0   Global Step: 340   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:42:24,089-Speed 25313.48 samples/sec   Loss 38.7181   LearningRate 0.0001   Epoch: 0   Global Step: 350   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:42:33,808-Speed 25290.30 samples/sec   Loss 38.7167   LearningRate 0.0001   Epoch: 0   Global Step: 360   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:42:43,576-Speed 25165.10 samples/sec   Loss 38.7178   LearningRate 0.0001   Epoch: 0   Global Step: 370   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:42:53,337-Speed 25179.68 samples/sec   Loss 38.7127   LearningRate 0.0001   Epoch: 0   Global Step: 380   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:43:03,190-Speed 24946.59 samples/sec   Loss 38.7139   LearningRate 0.0001   Epoch: 0   Global Step: 390   Fp16 Grad Scale: 65536   Required: 19 hours
Training: 2022-03-25 22:43:12,944-Speed 25211.06 samples/sec   Loss 38.7209   LearningRate 0.0001   Epoch: 0   Global Step: 400   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:43:22,649-Speed 25325.49 samples/sec   Loss 38.7303   LearningRate 0.0001   Epoch: 0   Global Step: 410   Fp16 Grad Scale: 32768   Required: 19 hours
Training: 2022-03-25 22:43:32,536-Speed 24861.02 samples/sec   Loss 38.7329   LearningRate 0.0001   Epoch: 0   Global Step: 420   Fp16 Grad Scale: 32768   Required: 19 hours
