Training: 2022-01-13 21:56:52,866-rank_id: 0
Training: 2022-01-13 21:57:15,756-rank_id: 0
Training: 2022-01-13 21:57:36,225-: loss                     cosface
Training: 2022-01-13 21:57:36,225-: network                  mbf
Training: 2022-01-13 21:57:36,225-: resume                   False
Training: 2022-01-13 21:57:36,225-: output                   work_dirs/webface42m_mobilefacenet_pfc02_bs8k_16gpus
Training: 2022-01-13 21:57:36,226-: embedding_size           512
Training: 2022-01-13 21:57:36,226-: sample_rate              0.2
Training: 2022-01-13 21:57:36,226-: fp16                     True
Training: 2022-01-13 21:57:36,226-: momentum                 0.9
Training: 2022-01-13 21:57:36,226-: weight_decay             0.0001
Training: 2022-01-13 21:57:36,226-: batch_size               512
Training: 2022-01-13 21:57:36,226-: lr                       0.4
Training: 2022-01-13 21:57:36,226-: dali                     True
Training: 2022-01-13 21:57:36,226-: verbose                  10000
Training: 2022-01-13 21:57:36,226-: frequent                 10
Training: 2022-01-13 21:57:36,226-: score                    None
Training: 2022-01-13 21:57:36,226-: rec                      /train_tmp/WebFace42M
Training: 2022-01-13 21:57:36,226-: num_classes              2059906
Training: 2022-01-13 21:57:36,226-: num_image                42474557
Training: 2022-01-13 21:57:36,226-: num_epoch                20
Training: 2022-01-13 21:57:36,226-: warmup_epoch             2
Training: 2022-01-13 21:57:36,226-: val_targets              []
Training: 2022-01-13 21:57:36,226-: warmup_step              10368
Training: 2022-01-13 21:57:36,226-: total_step               103680
Training: 2022-01-13 21:57:40,967-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-13 21:57:49,698-Speed 18478.05 samples/sec   Loss 42.4905   LearningRate 0.0008   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 8192   Required: 18 hours
Training: 2022-01-13 21:57:54,123-Speed 18521.48 samples/sec   Loss 42.4926   LearningRate 0.0012   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 8192   Required: 17 hours
Training: 2022-01-13 21:57:58,536-Speed 18570.98 samples/sec   Loss 42.4971   LearningRate 0.0015   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 8192   Required: 16 hours
Training: 2022-01-13 21:58:02,932-Speed 18641.72 samples/sec   Loss 42.4976   LearningRate 0.0019   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 8192   Required: 15 hours
Training: 2022-01-13 21:58:07,308-Speed 18723.59 samples/sec   Loss 42.4922   LearningRate 0.0023   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 8192   Required: 15 hours
Training: 2022-01-13 21:58:11,683-Speed 18730.38 samples/sec   Loss 42.4977   LearningRate 0.0027   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2022-01-13 21:58:16,104-Speed 18535.82 samples/sec   Loss 42.5029   LearningRate 0.0031   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2022-01-13 21:58:20,513-Speed 18583.41 samples/sec   Loss 42.5007   LearningRate 0.0035   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2022-01-13 21:58:24,910-Speed 18636.70 samples/sec   Loss 42.5020   LearningRate 0.0039   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2022-01-13 21:58:29,324-Speed 18561.83 samples/sec   Loss 42.4798   LearningRate 0.0042   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-13 21:58:33,742-Speed 18550.20 samples/sec   Loss 42.4923   LearningRate 0.0046   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-13 21:58:38,129-Speed 18679.38 samples/sec   Loss 42.4888   LearningRate 0.0050   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-13 21:58:42,533-Speed 18609.50 samples/sec   Loss 42.4848   LearningRate 0.0054   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 16384   Required: 14 hours
Training: 2022-01-13 21:58:46,936-Speed 18608.45 samples/sec   Loss 42.4821   LearningRate 0.0058   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:58:51,345-Speed 18582.64 samples/sec   Loss 42.4757   LearningRate 0.0062   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:58:55,734-Speed 18671.34 samples/sec   Loss 42.4663   LearningRate 0.0066   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:59:00,177-Speed 18441.75 samples/sec   Loss 42.4812   LearningRate 0.0069   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:59:04,723-Speed 18027.18 samples/sec   Loss 42.4785   LearningRate 0.0073   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:59:09,113-Speed 18665.12 samples/sec   Loss 42.4572   LearningRate 0.0077   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 16384   Required: 13 hours
Training: 2022-01-13 21:59:13,539-Speed 18511.97 samples/sec   Loss 42.4354   LearningRate 0.0081   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 13 hours
Training: 2022-01-13 21:59:17,935-Speed 18643.64 samples/sec   Loss 42.4312   LearningRate 0.0085   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 13 hours
Training: 2022-01-13 21:59:23,350-Speed 15131.91 samples/sec   Loss 42.4220   LearningRate 0.0089   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 13 hours
