Training: 2022-01-07 17:13:51,071-rank_id: 0
Training: 2022-01-07 17:14:17,828-: loss                     cosface
Training: 2022-01-07 17:14:17,829-: network                  r100
Training: 2022-01-07 17:14:17,829-: resume                   False
Training: 2022-01-07 18:37:51,584-: output                   work_dirs/webface42m_r100_lr01_pfc02_16gpus
Training: 2022-01-07 18:37:51,584-: embedding_size           512
Training: 2022-01-07 18:37:51,584-: sample_rate              0.2
Training: 2022-01-07 18:37:51,584-: fp16                     True
Training: 2022-01-07 18:37:51,584-: momentum                 0.9
Training: 2022-01-07 18:37:51,584-: weight_decay             0.0005
Training: 2022-01-07 18:37:51,584-: batch_size               256
Training: 2022-01-07 18:37:51,584-: lr                       0.3
Training: 2022-01-07 18:37:51,584-: dali                     True
Training: 2022-01-07 18:37:51,584-: verbose                  2000
Training: 2022-01-07 18:37:51,584-: frequent                 10
Training: 2022-01-07 18:37:51,584-: if_hard_scale            False
Training: 2022-01-07 18:37:51,585-: score                    None
Training: 2022-01-07 18:37:51,585-: rec                      /train_tmp/WebFace42M
Training: 2022-01-07 18:37:51,585-: num_classes              2059906
Training: 2022-01-07 18:37:51,585-: num_image                42474557
Training: 2022-01-07 18:37:51,585-: num_epoch                20
Training: 2022-01-07 18:37:51,585-: warmup_epoch             1
Training: 2022-01-07 18:37:51,585-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-07 18:37:51,585-: warmup_step              10369
Training: 2022-01-07 18:37:51,585-: total_step               207380
Training: 2022-01-07 18:38:05,243-Speed 5498.09 samples/sec   Loss 39.6443   LearningRate 0.0159   Epoch: 0   Global Step: 550   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:38:12,670-Speed 5516.75 samples/sec   Loss 39.6036   LearningRate 0.0162   Epoch: 0   Global Step: 560   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:38:20,106-Speed 5509.71 samples/sec   Loss 39.5587   LearningRate 0.0165   Epoch: 0   Global Step: 570   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:38:27,549-Speed 5504.42 samples/sec   Loss 39.5510   LearningRate 0.0168   Epoch: 0   Global Step: 580   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:38:35,042-Speed 5468.04 samples/sec   Loss 39.5291   LearningRate 0.0171   Epoch: 0   Global Step: 590   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:38:42,644-Speed 5388.85 samples/sec   Loss 39.4717   LearningRate 0.0174   Epoch: 0   Global Step: 600   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:38:50,096-Speed 5497.64 samples/sec   Loss 39.4198   LearningRate 0.0176   Epoch: 0   Global Step: 610   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:38:57,510-Speed 5526.22 samples/sec   Loss 39.4227   LearningRate 0.0179   Epoch: 0   Global Step: 620   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:39:04,968-Speed 5493.36 samples/sec   Loss 39.3887   LearningRate 0.0182   Epoch: 0   Global Step: 630   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:39:12,403-Speed 5510.44 samples/sec   Loss 39.3821   LearningRate 0.0185   Epoch: 0   Global Step: 640   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:39:19,944-Speed 5432.65 samples/sec   Loss 39.3465   LearningRate 0.0188   Epoch: 0   Global Step: 650   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:39:27,369-Speed 5517.94 samples/sec   Loss 39.3211   LearningRate 0.0191   Epoch: 0   Global Step: 660   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:39:34,955-Speed 5400.76 samples/sec   Loss 39.3001   LearningRate 0.0194   Epoch: 0   Global Step: 670   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:39:42,357-Speed 5535.23 samples/sec   Loss 39.2760   LearningRate 0.0197   Epoch: 0   Global Step: 680   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:39:49,724-Speed 5560.82 samples/sec   Loss 39.2780   LearningRate 0.0200   Epoch: 0   Global Step: 690   Fp16 Grad Scale: 32768   Required: 43 hours
ng: 2022-01-07 18:39:51,469-Speed 5584.63 samples/sec   Loss 42.4764   LearningRate 0.0023   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 8192   Required: 44 hours
Training: 2022-01-07 18:39:57,092-Speed 5560.67 samples/sec   Loss 39.2595   LearningRate 0.0203   Epoch: 0   Global Step: 700   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:40:04,755-Speed 5350.07 samples/sec   Loss 39.2531   LearningRate 0.0205   Epoch: 0   Global Step: 710   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:40:12,366-Speed 5383.32 samples/sec   Loss 39.2174   LearningRate 0.0208   Epoch: 0   Global Step: 720   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:40:19,696-Speed 5589.52 samples/sec   Loss 39.2185   LearningRate 0.0211   Epoch: 0   Global Step: 730   Fp16 Grad Scale: 32768   Required: 43 hours
ining: 2022-01-07 18:40:20,771-Speed 5479.16 samples/sec   Loss 42.4339   LearningRate 0.0035   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 16384   Required: 43 hours
Training: 2022-01-07 18:40:27,265-Speed 5411.99 samples/sec   Loss 39.1960   LearningRate 0.0214   Epoch: 0   Global Step: 740   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:40:28,143-Speed 5557.25 samples/sec   Loss 42.4347   LearningRate 0.0038   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 16384   Required: 43 hours
Training: 2022-01-07 18:40:35,382-Speed 5661.93 samples/sec   Loss 42.4128   LearningRate 0.0041   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 16384   Required: 43 hours
Training: 2022-01-07 18:40:42,621-Speed 5658.90 samples/sec   Loss 42.3886   LearningRate 0.0043   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 16384   Required: 43 hours
Training: 2022-01-07 18:40:50,093-Speed 5483.51 samples/sec   Loss 42.3571   LearningRate 0.0046   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 16384   Required: 43 hours
Training: 2022-01-07 18:40:56,844-Speed 5497.71 samples/sec   Loss 39.2052   LearningRate 0.0226   Epoch: 0   Global Step: 780   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:04,119-Speed 5633.38 samples/sec   Loss 39.1676   LearningRate 0.0229   Epoch: 0   Global Step: 790   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:11,600-Speed 5476.66 samples/sec   Loss 39.1966   LearningRate 0.0231   Epoch: 0   Global Step: 800   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:19,205-Speed 5387.43 samples/sec   Loss 39.2049   LearningRate 0.0234   Epoch: 0   Global Step: 810   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:26,630-Speed 5517.57 samples/sec   Loss 39.1738   LearningRate 0.0237   Epoch: 0   Global Step: 820   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:34,039-Speed 5530.22 samples/sec   Loss 39.1547   LearningRate 0.0240   Epoch: 0   Global Step: 830   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:41,538-Speed 5463.09 samples/sec   Loss 39.2001   LearningRate 0.0243   Epoch: 0   Global Step: 840   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:49,165-Speed 5372.02 samples/sec   Loss 39.1941   LearningRate 0.0246   Epoch: 0   Global Step: 850   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:41:56,819-Speed 5351.96 samples/sec   Loss 39.1715   LearningRate 0.0249   Epoch: 0   Global Step: 860   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:04,290-Speed 5484.49 samples/sec   Loss 39.1698   LearningRate 0.0252   Epoch: 0   Global Step: 870   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:42:11,790-Speed 5462.60 samples/sec   Loss 39.1889   LearningRate 0.0255   Epoch: 0   Global Step: 880   Fp16 Grad Scale: 65536   Required: 43 hours
Training: 2022-01-07 18:42:19,050-Speed 5643.81 samples/sec   Loss 39.1620   LearningRate 0.0257   Epoch: 0   Global Step: 890   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:26,244-Speed 5695.20 samples/sec   Loss 39.1756   LearningRate 0.0260   Epoch: 0   Global Step: 900   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:33,393-Speed 5731.05 samples/sec   Loss 39.1696   LearningRate 0.0263   Epoch: 0   Global Step: 910   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:40,833-Speed 5506.69 samples/sec   Loss 39.1989   LearningRate 0.0266   Epoch: 0   Global Step: 920   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:48,272-Speed 5507.02 samples/sec   Loss 39.1680   LearningRate 0.0269   Epoch: 0   Global Step: 930   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:42:55,811-Speed 5434.35 samples/sec   Loss 39.1873   LearningRate 0.0272   Epoch: 0   Global Step: 940   Fp16 Grad Scale: 32768   Required: 43 hours
Training: 2022-01-07 18:43:03,286-Speed 5480.87 samples/sec   Loss 39.1872   LearningRate 0.0275   Epoch: 0   Global Step: 950   Fp16 Grad Scale: 32768   Required: 43 hours
