Training: 2022-01-15 14:51:43,310-rank_id: 0
Training: 2022-01-15 14:52:04,169-: loss                     cosface
Training: 2022-01-15 14:52:04,170-: network                  r50
Training: 2022-01-15 14:52:04,170-: resume                   False
Training: 2022-01-15 14:52:04,170-: output                   work_dirs/webface42m_r50_lr01_pfc02_bs8k_16gpus
Training: 2022-01-15 14:52:04,170-: embedding_size           512
Training: 2022-01-15 14:52:04,170-: sample_rate              0.2
Training: 2022-01-15 14:52:04,171-: fp16                     True
Training: 2022-01-15 14:52:04,171-: momentum                 0.9
Training: 2022-01-15 14:52:04,171-: weight_decay             0.0005
Training: 2022-01-15 14:52:04,171-: batch_size               512
Training: 2022-01-15 14:52:04,171-: lr                       0.6
Training: 2022-01-15 14:52:04,171-: dali                     True
Training: 2022-01-15 14:52:04,171-: verbose                  10000
Training: 2022-01-15 14:52:04,171-: frequent                 10
Training: 2022-01-15 14:52:04,171-: score                    None
Training: 2022-01-15 14:52:04,171-: rec                      /train_tmp/WebFace42M
Training: 2022-01-15 14:52:04,171-: num_classes              2059906
Training: 2022-01-15 14:52:04,171-: num_image                42474557
Training: 2022-01-15 14:52:04,171-: num_epoch                20
Training: 2022-01-15 14:52:04,171-: warmup_epoch             4
Training: 2022-01-15 14:52:04,171-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-01-15 14:52:04,171-: warmup_step              20736
Training: 2022-01-15 14:52:04,171-: total_step               103680
Training: 2022-01-15 14:53:11,153-Reducer buckets have been rebuilt in this iteration.
Training: 2022-01-15 14:53:26,109-Speed 10538.89 samples/sec   Loss 42.4980   LearningRate 0.0006   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 16384   Required: 32 hours
Training: 2022-01-15 14:53:33,934-Speed 10472.32 samples/sec   Loss 42.5048   LearningRate 0.0009   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 16384   Required: 29 hours
Training: 2022-01-15 14:53:41,750-Speed 10482.47 samples/sec   Loss 42.4908   LearningRate 0.0012   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 16384   Required: 28 hours
Training: 2022-01-15 14:53:49,556-Speed 10496.88 samples/sec   Loss 42.4908   LearningRate 0.0014   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 16384   Required: 27 hours
Training: 2022-01-15 14:53:57,384-Speed 10468.01 samples/sec   Loss 42.4911   LearningRate 0.0017   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 16384   Required: 26 hours
Training: 2022-01-15 14:54:05,202-Speed 10479.91 samples/sec   Loss 42.4814   LearningRate 0.0020   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 16384   Required: 25 hours
Training: 2022-01-15 14:54:12,998-Speed 10509.65 samples/sec   Loss 42.4677   LearningRate 0.0023   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 16384   Required: 25 hours
Training: 2022-01-15 14:54:20,785-Speed 10522.36 samples/sec   Loss 42.4678   LearningRate 0.0026   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 16384   Required: 25 hours
Training: 2022-01-15 14:54:28,610-Speed 10471.12 samples/sec   Loss 42.4525   LearningRate 0.0029   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 16384   Required: 25 hours
Training: 2022-01-15 14:54:36,485-Speed 10404.45 samples/sec   Loss 42.4509   LearningRate 0.0032   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:54:44,363-Speed 10400.99 samples/sec   Loss 42.4429   LearningRate 0.0035   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:54:52,274-Speed 10357.30 samples/sec   Loss 42.4529   LearningRate 0.0038   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:55:00,077-Speed 10500.45 samples/sec   Loss 42.4124   LearningRate 0.0041   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:55:07,869-Speed 10514.96 samples/sec   Loss 42.4071   LearningRate 0.0043   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:55:15,684-Speed 10482.92 samples/sec   Loss 42.3922   LearningRate 0.0046   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:55:23,491-Speed 10495.91 samples/sec   Loss 42.3490   LearningRate 0.0049   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 32768   Required: 24 hours
Training: 2022-01-15 14:55:31,291-Speed 10504.49 samples/sec   Loss 42.3321   LearningRate 0.0052   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 32768   Required: 24 hours
