Training: 2022-04-26 12:13:44,414-rank_id: 0
Training: 2022-04-26 12:13:57,218-: margin_list              [1.0, 0.0, 0.4]
Training: 2022-04-26 12:13:57,219-: network                  mbf
Training: 2022-04-26 12:13:57,219-: resume                   False
Training: 2022-04-26 12:13:57,219-: output                   work_dirs/wf4m_mbf
Training: 2022-04-26 12:13:57,219-: embedding_size           512
Training: 2022-04-26 12:13:57,219-: sample_rate              1.0
Training: 2022-04-26 12:13:57,219-: interclass_filtering_threshold0
Training: 2022-04-26 12:13:57,219-: fp16                     True
Training: 2022-04-26 12:13:57,219-: batch_size               128
Training: 2022-04-26 12:13:57,220-: optimizer                sgd
Training: 2022-04-26 12:13:57,220-: lr                       0.1
Training: 2022-04-26 12:13:57,220-: momentum                 0.9
Training: 2022-04-26 12:13:57,220-: weight_decay             0.0001
Training: 2022-04-26 12:13:57,220-: verbose                  2000
Training: 2022-04-26 12:13:57,220-: frequent                 10
Training: 2022-04-26 12:13:57,220-: dali                     False
Training: 2022-04-26 12:13:57,220-: rec                      /train_tmp/WebFace4M
Training: 2022-04-26 12:13:57,220-: num_classes              205990
Training: 2022-04-26 12:13:57,220-: num_image                4235242
Training: 2022-04-26 12:13:57,220-: num_epoch                20
Training: 2022-04-26 12:13:57,220-: warmup_epoch             0
Training: 2022-04-26 12:13:57,220-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-04-26 12:13:57,220-: total_batch_size         1024
Training: 2022-04-26 12:13:57,220-: warmup_step              0
Training: 2022-04-26 12:13:57,220-: total_step               82700
Training: 2022-04-26 12:15:01,987-Reducer buckets have been rebuilt in this iteration.
Training: 2022-04-26 12:15:03,852-Speed 9633.81 samples/sec   Loss 41.8277   LearningRate 0.1000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 4096   Required: 11 hours
Training: 2022-04-26 12:15:04,912-Speed 9675.35 samples/sec   Loss 42.0540   LearningRate 0.0999   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 4096   Required: 8 hours
Training: 2022-04-26 12:15:05,887-Speed 10502.53 samples/sec   Loss 42.1688   LearningRate 0.0999   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 4096   Required: 7 hours
Training: 2022-04-26 12:15:06,888-Speed 10244.93 samples/sec   Loss 42.5853   LearningRate 0.0999   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 4096   Required: 6 hours
Training: 2022-04-26 12:15:07,885-Speed 10274.30 samples/sec   Loss 42.6345   LearningRate 0.0999   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2022-04-26 12:15:08,904-Speed 10057.86 samples/sec   Loss 42.9741   LearningRate 0.0998   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2022-04-26 12:15:09,898-Speed 10312.98 samples/sec   Loss 42.6444   LearningRate 0.0998   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 4096   Required: 5 hours
Training: 2022-04-26 12:15:10,909-Speed 10135.43 samples/sec   Loss 42.9558   LearningRate 0.0998   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2022-04-26 12:15:11,933-Speed 10013.69 samples/sec   Loss 42.9947   LearningRate 0.0998   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 4096   Required: 4 hours
Training: 2022-04-26 12:15:12,929-Speed 10287.69 samples/sec   Loss 42.9830   LearningRate 0.0997   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 8192   Required: 4 hours
Training: 2022-04-26 12:15:13,958-Speed 9953.41 samples/sec   Loss 42.9918   LearningRate 0.0997   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 8192   Required: 4 hours
Training: 2022-04-26 12:15:14,988-Speed 9958.38 samples/sec   Loss 42.8761   LearningRate 0.0997   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 8192   Required: 4 hours
