Training: 2022-04-26 12:13:48,919-rank_id: 0
Training: 2022-04-26 12:14:02,806-: margin_list              [1.0, 0.0, 0.4]
Training: 2022-04-26 12:14:02,808-: network                  r100
Training: 2022-04-26 12:14:02,808-: resume                   False
Training: 2022-04-26 12:14:02,808-: output                   work_dirs/wf4m_r100
Training: 2022-04-26 12:14:02,808-: embedding_size           512
Training: 2022-04-26 12:14:02,808-: sample_rate              1.0
Training: 2022-04-26 12:14:02,808-: interclass_filtering_threshold0
Training: 2022-04-26 12:14:02,808-: fp16                     True
Training: 2022-04-26 12:14:02,808-: batch_size               128
Training: 2022-04-26 12:14:02,808-: optimizer                sgd
Training: 2022-04-26 12:14:02,808-: lr                       0.1
Training: 2022-04-26 12:14:02,808-: momentum                 0.9
Training: 2022-04-26 12:14:02,808-: weight_decay             0.0005
Training: 2022-04-26 12:14:02,809-: verbose                  2000
Training: 2022-04-26 12:14:02,809-: frequent                 10
Training: 2022-04-26 12:14:02,809-: dali                     False
Training: 2022-04-26 12:14:02,809-: rec                      /train_tmp/WebFace4M
Training: 2022-04-26 12:14:02,809-: num_classes              205990
Training: 2022-04-26 12:14:02,809-: num_image                4235242
Training: 2022-04-26 12:14:02,809-: num_epoch                20
Training: 2022-04-26 12:14:02,809-: warmup_epoch             0
Training: 2022-04-26 12:14:02,809-: val_targets              ['lfw', 'cfp_fp', 'agedb_30']
Training: 2022-04-26 12:14:02,809-: total_batch_size         1024
Training: 2022-04-26 12:14:02,809-: warmup_step              0
Training: 2022-04-26 12:14:02,810-: total_step               82700
Training: 2022-04-26 12:15:09,750-Reducer buckets have been rebuilt in this iteration.
Training: 2022-04-26 12:15:15,276-Speed 3366.51 samples/sec   Loss 42.2827   LearningRate 0.1000   Epoch: 0   Global Step: 20   Fp16 Grad Scale: 8192   Required: 17 hours
Training: 2022-04-26 12:15:18,345-Speed 3337.14 samples/sec   Loss 43.4502   LearningRate 0.0999   Epoch: 0   Global Step: 30   Fp16 Grad Scale: 8192   Required: 14 hours
Training: 2022-04-26 12:15:21,405-Speed 3347.78 samples/sec   Loss 43.2877   LearningRate 0.0999   Epoch: 0   Global Step: 40   Fp16 Grad Scale: 8192   Required: 12 hours
Training: 2022-04-26 12:15:24,410-Speed 3408.39 samples/sec   Loss 42.7765   LearningRate 0.0999   Epoch: 0   Global Step: 50   Fp16 Grad Scale: 8192   Required: 11 hours
Training: 2022-04-26 12:15:27,443-Speed 3377.75 samples/sec   Loss 42.8709   LearningRate 0.0999   Epoch: 0   Global Step: 60   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2022-04-26 12:15:30,469-Speed 3384.78 samples/sec   Loss 42.8863   LearningRate 0.0998   Epoch: 0   Global Step: 70   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2022-04-26 12:15:33,469-Speed 3413.84 samples/sec   Loss 42.7049   LearningRate 0.0998   Epoch: 0   Global Step: 80   Fp16 Grad Scale: 8192   Required: 10 hours
Training: 2022-04-26 12:15:36,458-Speed 3426.85 samples/sec   Loss 42.8331   LearningRate 0.0998   Epoch: 0   Global Step: 90   Fp16 Grad Scale: 8192   Required: 9 hours
Training: 2022-04-26 12:15:39,448-Speed 3425.80 samples/sec   Loss 42.6035   LearningRate 0.0998   Epoch: 0   Global Step: 100   Fp16 Grad Scale: 8192   Required: 9 hours
Training: 2022-04-26 12:15:42,443-Speed 3420.05 samples/sec   Loss 42.4425   LearningRate 0.0997   Epoch: 0   Global Step: 110   Fp16 Grad Scale: 16384   Required: 9 hours
Training: 2022-04-26 12:15:45,437-Speed 3420.09 samples/sec   Loss 42.2829   LearningRate 0.0997   Epoch: 0   Global Step: 120   Fp16 Grad Scale: 16384   Required: 9 hours
Training: 2022-04-26 12:15:48,455-Speed 3394.66 samples/sec   Loss 42.3140   LearningRate 0.0997   Epoch: 0   Global Step: 130   Fp16 Grad Scale: 16384   Required: 9 hours
Training: 2022-04-26 12:15:51,487-Speed 3377.36 samples/sec   Loss 42.1229   LearningRate 0.0997   Epoch: 0   Global Step: 140   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:15:54,538-Speed 3357.15 samples/sec   Loss 42.0627   LearningRate 0.0996   Epoch: 0   Global Step: 150   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:15:57,551-Speed 3399.96 samples/sec   Loss 42.0204   LearningRate 0.0996   Epoch: 0   Global Step: 160   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:16:00,550-Speed 3415.02 samples/sec   Loss 41.7406   LearningRate 0.0996   Epoch: 0   Global Step: 170   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:16:03,548-Speed 3416.63 samples/sec   Loss 41.7301   LearningRate 0.0996   Epoch: 0   Global Step: 180   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:16:06,546-Speed 3416.59 samples/sec   Loss 41.4841   LearningRate 0.0995   Epoch: 0   Global Step: 190   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:16:09,550-Speed 3409.41 samples/sec   Loss 41.4125   LearningRate 0.0995   Epoch: 0   Global Step: 200   Fp16 Grad Scale: 16384   Required: 8 hours
Training: 2022-04-26 12:16:12,553-Speed 3410.07 samples/sec   Loss 41.4388   LearningRate 0.0995   Epoch: 0   Global Step: 210   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:15,559-Speed 3407.80 samples/sec   Loss 41.2686   LearningRate 0.0995   Epoch: 0   Global Step: 220   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:18,561-Speed 3412.14 samples/sec   Loss 41.0784   LearningRate 0.0994   Epoch: 0   Global Step: 230   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:21,563-Speed 3410.88 samples/sec   Loss 41.0651   LearningRate 0.0994   Epoch: 0   Global Step: 240   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:24,573-Speed 3404.00 samples/sec   Loss 40.9296   LearningRate 0.0994   Epoch: 0   Global Step: 250   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:27,577-Speed 3409.08 samples/sec   Loss 40.8982   LearningRate 0.0994   Epoch: 0   Global Step: 260   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:30,583-Speed 3407.55 samples/sec   Loss 40.7956   LearningRate 0.0993   Epoch: 0   Global Step: 270   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:33,583-Speed 3413.69 samples/sec   Loss 40.5724   LearningRate 0.0993   Epoch: 0   Global Step: 280   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:36,615-Speed 3378.79 samples/sec   Loss 40.4337   LearningRate 0.0993   Epoch: 0   Global Step: 290   Fp16 Grad Scale: 32768   Required: 8 hours
Training: 2022-04-26 12:16:39,621-Speed 3406.47 samples/sec   Loss 40.3194   LearningRate 0.0993   Epoch: 0   Global Step: 300   Fp16 Grad Scale: 32768   Required: 8 hours
